Unnamed: 0,season,firstName,lastName,position,origin,destination,positionType
1961,2022,Mateo,Sudipo,S,Coastal Carolina,,Defense
1962,2022,Zach,Wilson,WR,USC,,Offense
1963,2022,Zack,Annexstad,QB,Minnesota,Illinois State,Offense
1964,2022,Michael,Graham,S,Hawai'i,,Defense
1965,2022,Trey,LaBounty,WDE,Stanford,,Defense
1966,2022,Eric,Black,DL,Buffalo,,Defense
1967,2022,Titus,Mokiao-Atimalala,WR,UCF,UCLA,Offense
1968,2022,Dimitri,Stanley,WR,Colorado,Iowa State,Offense
1969,2022,Anthony,Romphf,CB,Purdue,Western Michigan,Defense
1970,2022,Grant,Hidalgo,TE,Illinois,Auburn,Offense
1971,2022,Justin,Marshall,WR,Louisville,Buffalo,Offense
1972,2022,Jordan,Huff,CB,Georgia Tech,,Defense
1973,2022,Donte,Burton,CB,Wisconsin,,Defense
1974,2022,Trevon,Booker,CB,Miami (OH),,Defense
1975,2022,Pierce,Devaughn,EDGE,Connecticut,,Defense
1976,2022,Jordyn,Williams,WR,Indiana,Jackson State,Offense
1977,2022,Trey,Morrison,CB,North Carolina,Oklahoma,Defense
1978,2022,Tico,Brown,DL,Central Michigan,Missouri State,Defense
1979,2022,Preston,Hutchinson,QB,Eastern Michigan,Chattanooga,Offense
1980,2022,Michael,Bowe,EDGE,New Mexico State,,Defense
1981,2022,Michael,Gravely Jr.,S,Michigan State,,Defense
1982,2022,Simon,Thompson,LB,Utah State,,Defense
1983,2022,Amir,Riep,S,Ohio State,,Defense
1984,2022,Brendon,Harris,S,Vanderbilt,Wake Forest,Defense
1985,2022,Stetson,Moore,TE,Liberty,,Offense
1986,2022,Regen,Terry,EDGE,Arizona,Boston College,Defense
1987,2022,AJ,Roberts,LB,Pittsburgh,Stony Brook,Defense
1988,2022,Tyler,Hudson,WR,Central Arkansas,Louisville,Offense
1989,2022,Sione,Finau,IOL,Florida International,Purdue,Offense
1990,2022,Mark,Jackson Jr.,EDGE,TCU,Western New Mexico,Defense
1991,2022,Dontay,Hunter II,DL,Purdue,Ohio,Defense
1992,2022,Karon,Prunty,CB,South Carolina,North Carolina A&T,Defense
1993,2022,Eric,Taylor,DL,LSU,,Defense
1994,2022,Jalen,Paxton,WR,Tulsa,,Offense
1995,2022,Ty,Barron,LB,Minnesota,,Defense
1996,2022,Jayden,de Laura,QB,Washington State,Arizona,Offense
1997,2022,Charlie,Browder,TE,UCF,Tennessee,Offense
1998,2022,Taylor,Powell,QB,Troy,Eastern Michigan,Offense
1999,2022,Dylan,McGill,WR,Minnesota,Pittsburg State,Offense
2000,2022,Mike,Lofton,IOL,UCF,South Florida,Offense
2001,2022,Cole,Snyder,QB,Rutgers,Buffalo,Offense
2002,2022,Anthony,Earle,OG,Florida Atlantic,,Offense
2003,2022,Harrison,Bailey,QB,Tennessee,UNLV,Offense
2004,2022,Ben,Bryant,QB,Eastern Michigan,Cincinnati,Offense
2005,2022,Edgar,Burrola,OT,Arizona,,Offense
2006,2022,Patrick,Fields,S,Oklahoma,Stanford,Defense
